"BlueAvgSigStrLanded","RedAvgSigStrLanded","BlueAvgSigStrPct","RedAvgSigStrPct","BlueAvgTDLanded","RedAvgTDLanded","BlueReachCms","RedReachCms","BlueHeightCms","RedHeightCms","BlueAge","RedAge","RedWins","BlueWins","Winner"
5.95,6.82,0.52,0.65,0.19,0,180.34,185.42,190.5,187.96,33,30,3,4,0
3.48,5.05,0.47,0.51,1.95,0.56,177.8,190.5,172.72,180.34,40,34,8,21,0
3.42,4.7,0.48,0.48,5.36,3.84,187.96,167.64,177.8,170.18,26,31,4,2,0
3.76,2.65,0.5,0.44,0.5,3.12,182.88,198.12,177.8,187.96,31,34,2,4,0
4.21,5.34,0.47,0.47,0,0.58,190.5,210.82,175.26,195.58,38,32,8,2,0
3.27,4.36,0.44,0.55,0.81,3.97,180.34,180.34,170.18,172.72,31,27,4,2,0
3.85,3.41,0.47,0.53,0.78,1.6,187.96,187.96,182.88,177.8,35,28,2,4,0
4.46,4.9,0.53,0.63,1.27,6.64,185.42,190.5,185.42,182.88,31,31,6,9,0
5.28,5.44,0.44,0.45,2.63,0.84,182.88,180.34,172.72,172.72,29,37,10,7,0
4.72,4.77,0.53,0.5,0.23,0.56,182.88,177.8,172.72,175.26,28,33,5,3,0
6.25,3.8,0.37,0.43,0,0.33,175.26,177.8,175.26,170.18,27,28,4,0,1
2.85,3.4,0.49,0.38,1.42,2.86,175.26,180.34,170.18,177.8,39,40,18,5,0
2.11,3.31,0.56,0.51,5.08,1.22,165.1,167.64,162.56,167.64,30,31,7,3,1
5.2,4.84,0.4,0.52,1.13,1.88,172.72,162.56,167.64,167.64,25,32,4,2,1
2.91,4.48,0.53,0.52,0,1.23,172.72,177.8,167.64,172.72,26,29,4,1,0
3.5,2.63,0.53,0.33,0.49,1.29,160.02,170.18,160.02,165.1,31,41,6,3,1
4.97,3.9,0.45,0.52,1,0.5,157.48,167.64,160.02,157.48,32,27,0,0,0
2.11,2.47,0.59,0.5,0,2.03,213.36,203.2,200.66,198.12,36,36,1,1,0
2.99,4.46,0.6,0.39,2.73,0.75,177.8,172.72,170.18,175.26,24,32,6,6,0
4.77,3.43,0.51,0.43,1.85,0.74,185.42,187.96,177.8,185.42,33,36,15,7,1
4.4,4.59,0.48,0.63,0.91,0,195.58,203.2,182.88,190.5,30,35,4,2,0
3.97,3.15,0.42,0.52,3.38,3.65,177.8,182.88,170.18,177.8,30,30,10,4,0
4.96,7.5,0.4,0.49,0.34,0.59,182.88,187.96,180.34,185.42,34,37,8,13,0
1.94,5.12,0.59,0.54,3.97,5.02,177.8,180.34,172.72,182.88,33,32,6,5,1
5.21,3.11,0.42,0.61,1.04,4.89,193.04,195.58,182.88,185.42,35,33,3,8,0
2.94,5.57,0.38,0.54,2,1.11,147.32,160.02,160.02,157.48,25,26,1,4,0
9.2,2.48,0.51,0.43,2.48,4.36,175.26,172.72,170.18,170.18,26,31,1,1,1
2,4.56,0.44,0.53,0,2.95,162.56,167.64,160.02,167.64,24,28,2,1,0
3.73,5.46,0.38,0.63,0,0.14,193.04,200.66,185.42,193.04,34,37,8,9,0
3.25,4.1,0.44,0.49,1.81,0.83,175.26,170.18,167.64,170.18,35,36,13,7,1
5.33,3.62,0.47,0.46,1.92,0.49,175.26,177.8,175.26,170.18,31,38,22,8,1
4.24,3.16,0.49,0.42,0.83,1.33,205.74,193.04,190.5,187.96,31,36,7,14,0
4.87,2.92,0.64,0.41,2.75,1.39,167.64,172.72,172.72,172.72,34,33,8,1,1
4.13,4.11,0.36,0.46,1.96,0.25,193.04,190.5,177.8,182.88,30,41,12,9,1
3.52,4.64,0.45,0.46,2.4,0.28,167.64,165.1,160.02,167.64,22,37,8,3,1
4.43,4.12,0.41,0.43,0.95,1.54,182.88,180.34,175.26,177.8,32,32,4,6,1
4.57,4.12,0.5,0.57,0.77,0,190.5,187.96,190.5,185.42,28,36,2,3,0
3.03,3.3,0.47,0.4,1.09,1.32,203.2,200.66,190.5,195.58,41,33,8,21,0
4.82,2.19,0.47,0.39,0.57,3.28,152.4,160.02,154.94,154.94,35,36,10,9,1
5.04,4.6,0.49,0.37,1.14,1.87,190.5,190.5,187.96,180.34,40,39,10,15,0
5.17,4.42,0.53,0.49,3.97,1.87,185.42,182.88,180.34,180.34,28,35,11,5,0
3.79,4.51,0.53,0.55,1.67,0.88,190.5,190.5,187.96,190.5,28,29,6,13,0
3.02,2.69,0.5,0.5,3.08,0.78,182.88,185.42,172.72,182.88,29,27,3,6,0
5.44,7.73,0.53,0.56,0.96,1.05,195.58,190.5,185.42,187.96,30,31,2,5,1
2.82,3.87,0.4,0.51,3.85,2.47,180.34,175.26,180.34,172.72,34,28,1,1,0
3.37,2.92,0.4,0.5,2.39,1.28,180.34,190.5,175.26,185.42,34,27,5,6,0
3.24,4.81,0.4,0.59,1.59,3.21,198.12,210.82,193.04,193.04,30,28,1,4,0
2.84,3.81,0.43,0.54,1.18,1.7,185.42,182.88,187.96,170.18,30,29,6,5,0
3.98,4.59,0.36,0.48,0.36,0.27,177.8,185.42,170.18,167.64,33,32,5,3,0
3.29,2.84,0.38,0.58,0.8,5.36,172.72,167.64,175.26,165.1,28,29,3,1,0
4.58,4.1,0.53,0.52,2.88,2.24,177.8,167.64,172.72,167.64,33,35,0,3,0
6.02,3.41,0.49,0.53,0,0.39,177.8,170.18,172.72,170.18,27,34,2,2,1
4.7,5.63,0.46,0.45,3.53,2.11,180.34,185.42,177.8,177.8,31,28,2,3,1
4.35,6.7,0.42,0.61,6.09,0.29,172.72,182.88,167.64,180.34,33,29,11,10,1
3.16,4.19,0.52,0.41,2.74,0.44,167.64,167.64,165.1,165.1,36,31,8,12,1
4.2,4.08,0.53,0.37,0.5,1.07,182.88,175.26,180.34,172.72,29,33,8,4,1
7.53,6.26,0.48,0.4,0.64,0.18,175.26,195.58,177.8,185.42,28,25,4,3,1
3.26,2.13,0.4,0.44,1.21,1.13,185.42,165.1,170.18,167.64,32,25,1,5,0
3.86,5.19,0.5,0.39,1.72,0.15,170.18,172.72,170.18,175.26,33,36,8,7,1
7.17,7.17,0.47,0.55,0,2.26,190.5,185.42,190.5,177.8,27,29,4,5,1
5.11,6.64,0.66,0.39,0.76,0,160.02,162.56,160.02,160.02,30,25,3,1,1
8.39,3.45,0.53,0.45,1.62,0,165.1,180.34,165.1,170.18,22,28,1,3,1
4.65,1.55,0.49,0.43,1.2,4.02,175.26,170.18,170.18,175.26,31,19,4,3,0
4.09,3.17,0.55,0.48,3.49,2.1,182.88,180.34,177.8,177.8,31,38,15,6,1
5.19,6.44,0.47,0.5,0.4,2.23,165.1,157.48,162.56,154.94,27,32,17,5,1
3.51,5.04,0.45,0.56,1.06,1.17,180.34,190.5,180.34,182.88,33,32,6,4,0
3.35,4.39,0.5,0.39,4.36,0.56,170.18,177.8,170.18,172.72,33,34,6,5,1
2.94,4.39,0.5,0.53,4.8,1.45,175.26,177.8,175.26,175.26,29,29,3,1,1
5.8,5.45,0.61,0.51,3.26,1.85,187.96,182.88,175.26,175.26,28,24,4,1,1
0.41,3.37,0.5,0.64,0,5.15,177.8,180.34,175.26,170.18,28,28,1,0,0
3.03,3.87,0.55,0.37,1.13,0,170.18,177.8,170.18,170.18,25,23,1,3,1
4.69,2.8,0.59,0.44,3.44,3.54,177.8,180.34,175.26,170.18,27,27,5,0,1
3.87,3.05,0.41,0.52,0.41,1.78,149.86,172.72,157.48,160.02,35,29,2,5,0
1.07,2.77,0.43,0.5,2.02,3.91,190.5,185.42,182.88,182.88,24,33,6,1,0
3.61,4.49,0.6,0.5,1.56,0.42,190.5,195.58,185.42,180.34,31,40,10,8,1
4.63,5.46,0.38,0.49,2.99,0.76,154.94,162.56,154.94,160.02,29,39,12,5,1
5.42,3.44,0.48,0.46,1.16,2.15,200.66,203.2,182.88,190.5,25,37,22,5,1
3.13,3.77,0.45,0.5,2.14,2.01,195.58,190.5,185.42,190.5,36,26,7,11,1
3.69,4.21,0.34,0.43,2.68,0.63,182.88,177.8,175.26,175.26,25,26,2,2,1
1.87,5.06,0.33,0.59,0.5,4.08,187.96,195.58,182.88,193.04,33,30,2,0,0
5.38,5.4,0.43,0.53,0,0,185.42,175.26,182.88,180.34,25,32,3,1,0
5.41,6.02,0.42,0.49,0,0,170.18,177.8,157.48,172.72,30,26,1,3,0
3.22,7.07,0.38,0.59,1.57,3.66,162.56,167.64,165.1,167.64,34,32,1,2,0
4,6.18,0.48,0.49,0.05,3.04,203.2,193.04,193.04,185.42,35,30,7,13,0
4.37,4.56,0.48,0.39,1.16,0.61,172.72,175.26,172.72,162.56,29,31,7,3,0
5.03,3.23,0.48,0.5,0.73,5.25,190.5,177.8,182.88,177.8,34,33,7,13,1
3.75,3.77,0.49,0.46,0,0,198.12,190.5,187.96,187.96,36,31,8,8,1
4.71,4.46,0.57,0.42,0,1.19,198.12,180.34,185.42,182.88,31,36,11,3,1
1.86,3.36,0.52,0.49,4.52,0,198.12,190.5,198.12,190.5,26,27,1,0,1
3.03,3.41,0.36,0.44,2.77,0,182.88,185.42,175.26,177.8,29,30,3,7,1
4.28,7.89,0.51,0.52,1.62,1.45,170.18,175.26,167.64,167.64,24,26,4,3,0
1.86,4.83,0.36,0.6,2.94,2.12,185.42,172.72,175.26,170.18,36,30,3,3,0
4.46,6.68,0.46,0.5,1.5,0,185.42,185.42,180.34,190.5,37,24,2,0,0
3.79,4.57,0.42,0.47,0.72,0.43,177.8,180.34,182.88,182.88,35,34,5,4,0
3.51,3.57,0.49,0.48,4.63,1.42,198.12,198.12,190.5,190.5,29,38,12,7,1
4.75,2.9,0.57,0.42,3.09,2.34,175.26,180.34,170.18,180.34,31,36,6,3,1
3.4,5.72,0.59,0.5,0,0,190.5,200.66,185.42,187.96,34,29,2,0,0
3.53,4.42,0.45,0.58,0.91,0.97,172.72,172.72,172.72,167.64,33,34,4,2,0
2.62,1.72,0.48,0.53,2.62,1.68,170.18,175.26,170.18,170.18,32,27,1,1,0
4.88,6.49,0.49,0.56,0.41,1.2,167.64,170.18,170.18,165.1,32,29,6,5,0
2.68,4.09,0.48,0.53,4.2,0,200.66,200.66,190.5,193.04,34,33,2,4,0
3.29,2.87,0.44,0.49,0,2.33,185.42,182.88,180.34,177.8,29,27,4,1,0
4.46,5.02,0.63,0.44,3.98,1.19,175.26,177.8,172.72,180.34,28,32,10,5,1
5.08,6.82,0.5,0.65,1.08,0,187.96,185.42,182.88,187.96,29,30,2,7,0
3.01,4.27,0.55,0.49,1.68,0.51,172.72,177.8,165.1,172.72,36,31,15,12,1
1.86,4.91,0.4,0.45,3.35,0.39,190.5,193.04,185.42,180.34,36,40,15,11,1
4.16,3.43,0.48,0.39,2.95,0.88,154.94,160.02,157.48,162.56,30,31,8,7,0
3.99,4.39,0.47,0.52,1.23,0,182.88,195.58,177.8,190.5,26,31,5,3,0
